X	Y
-9.363888855	57.3166667
-9.366666633	57.32028988
-9.375490162	57.33333336
-9.383333299	57.34285717
-9.388461504	57.35000003
-9.399999966	57.36500003
-9.401190442	57.3666667
-9.413008096	57.38333336
-9.416666633	57.38958336
-9.421874966	57.40000003
-9.42801415	57.4166667
-9.432520291	57.43333336
-9.433333299	57.43636367
-9.437280668	57.45000003
-9.443627417	57.4666667
-9.448437466	57.48333336
-9.448148114	57.50000003
-9.446052597	57.5166667
-9.44369366	57.53333336
-9.444607809	57.55000003
-9.449999966	57.55797104
-9.459090875	57.5666667
-9.466666633	57.57261908
-9.479710111	57.58333336
-9.483333299	57.5885417
-9.489247278	57.60000003
-9.493678127	57.6166667
-9.495678978	57.63333336
-9.496296262	57.65000003
-9.496296262	57.6666667
-9.496913546	57.68333336
-9.499206315	57.70000003
-9.499999966	57.7041667
-9.502777744	57.7166667
-9.506249966	57.73333336
-9.510256376	57.75000003
-9.516666633	57.7663399
-9.516777008	57.7666667
-9.518888855	57.78333336
-9.516666633	57.78809527
-9.507407373	57.80000003
-9.499999966	57.81111114
-9.495833299	57.8166667
-9.49444441	57.83333336
-9.494117613	57.85000003
-9.494166633	57.8666667
-9.493478227	57.88333336
-9.492028951	57.90000003
-9.486956488	57.9166667
-9.483333299	57.92261908
-9.475438562	57.93333336
-9.466666633	57.94375003
-9.461111077	57.95000003
-9.449999966	57.96250003
-9.444871761	57.9666667
-9.433333299	57.9766667
-9.42424239	57.98333336
-9.416666633	57.99027781
-9.406060572	58.00000003
-9.399999966	58.01111114
-9.396296262	58.0166667
-9.395454511	58.03333336
-9.391666633	58.05000003
-9.383333299	58.05897439
-9.370833299	58.0666667
-9.366666633	58.06944447
-9.349999966	58.07833336
-9.339999966	58.08333336
-9.333333299	58.08636367
-9.316666633	58.09333336
-9.308333299	58.10000003
-9.299999966	58.11111114
-9.297222188	58.1166667
-9.288461504	58.13333336
-9.283333299	58.14074077
-9.274999966	58.15000003
-9.266666633	58.15641029
-9.251851818	58.1666667
-9.249999966	58.16904765
-9.243333299	58.18333336
-9.249999966	58.1916667
-9.254761871	58.20000003
-9.256111077	58.2166667
-9.249999966	58.22190479
-9.233333299	58.22968753
-9.226041633	58.23333336
-9.216666633	58.2366667
-9.199999966	58.2416667
-9.183333299	58.24496127
-9.168888855	58.25000003
-9.166666633	58.25111114
-9.149999966	58.25781253
-9.133430765	58.2666667
-9.133333299	58.26673585
-9.116666632	58.27847225
-9.111111077	58.28333336
-9.099999966	58.29230772
-9.083333299	58.29675929
-9.066666632	58.29294875
-9.051041632	58.28333336
-9.049999966	58.2822917
-9.033333299	58.27261908
-9.016666632	58.26680444
-8.999999966	58.26805559
-8.983333299	58.27500003
-8.96699343	58.28333336
-8.966666632	58.28342062
-8.949999966	58.28768119
-8.933333299	58.28650797
-8.916666632	58.28583336
-8.899999966	58.29000003
-8.883333299	58.2966667
-8.878205094	58.30000003
-8.866666632	58.30833336
-8.853030269	58.3166667
-8.849999966	58.31944447
-8.834848451	58.33333336
-8.833333299	58.33518521
-8.819999966	58.35000003
-8.816666632	58.35555559
-8.808333299	58.3666667
-8.799999966	58.37333336
-8.783606523	58.38333336
-8.783333299	58.38343083
-8.766666632	58.38437503
-8.749999966	58.38690479
-8.733333299	58.39555559
-8.727777744	58.40000003
-8.716666632	58.40740744
-8.70384612	58.4166667
-8.699999966	58.41884061
-8.683333299	58.42777781
-8.672619013	58.43333336
-8.666666632	58.43602154
-8.649999966	58.44247315
-8.633333299	58.4463542
-8.616901374	58.45000003
-8.616666632	58.45004751
-8.599999966	58.45215057
-8.583333299	58.45535717
-8.566666632	58.45833336
-8.549999966	58.46234571
-8.533333299	58.46614586
-8.530952347	58.4666667
-8.516666632	58.46910572
-8.499999966	58.4714286
-8.483333299	58.47355075
-8.466666632	58.47735046
-8.449999966	58.48243246
-8.448333299	58.48333336
-8.433333299	58.49637684
-8.427380918	58.50000003
-8.416666632	58.50750003
-8.399999966	58.51428574
-8.39444441	58.5166667
-8.383333299	58.52011497
-8.366666632	58.52243593
-8.349999966	58.52678574
-8.333333299	58.52988509
-8.322222188	58.53333336
-8.316666632	58.53468471
-8.299999966	58.53958336
-8.283333299	58.54518521
-8.269791632	58.55000003
-8.266666632	58.55116282
-8.249999966	58.5566667
-8.233333299	58.56315792
-8.22444441	58.5666667
-8.216666632	58.57055559
-8.199999966	58.57962966
-8.194117613	58.58333336
-8.183333299	58.58944447
-8.166666632	58.59761908
-8.161538427	58.60000003
-8.149999966	58.60405408
-8.133333299	58.60769234
-8.116666632	58.61216219
-8.099999966	58.6157895
-8.096969663	58.6166667
-8.083333299	58.62007579
-8.066666632	58.62439027
-8.049999966	58.62982459
-8.040476156	58.63333336
-8.033333299	58.63560609
-8.016666632	58.6416667
-7.999999966	58.64837401
-7.996666632	58.65000003
-7.983333299	58.65533336
-7.966666632	58.66180559
-7.954385931	58.6666667
-7.949999966	58.66820991
-7.933333299	58.67345682
-7.916666632	58.67820516
-7.899999966	58.68300003
-7.898888854	58.68333336
-7.883333299	58.68819447
-7.866666632	58.694697
-7.854999966	58.70000003
-7.849999966	58.70232561
-7.833333299	58.71111114
-7.823611077	58.7166667
-7.816666632	58.7203704
-7.799999966	58.7286822
-7.78947365	58.73333336
-7.783333299	58.73571432
-7.766666632	58.74097225
-7.749999966	58.74703707
-7.743939359	58.75000003
-7.733333299	58.75583336
-7.719354804	58.7666667
-7.716666632	58.76860468
-7.699999966	58.7776596
-7.690804563	58.78333336
-7.683333299	58.7860417
-7.666666632	58.79256413
-7.655158696	58.80000003
-7.649999966	58.80355194
-7.633333299	58.81256834
-7.625520799	58.8166667
-7.616666632	58.82060188
-7.599999966	58.82552746
-7.583333299	58.83014187
-7.575833299	58.83333336
-7.566666632	58.83915347
-7.549999966	58.84754905
-7.542424208	58.85000003
-7.549999966	58.85833336
-7.55427347	58.8666667
-7.566666632	58.88225809
-7.567619013	58.88333336
-7.566666632	58.88636367
-7.563725456	58.90000003
-7.552339147	58.9166667
-7.549999966	58.92096777
-7.544010382	58.93333336
-7.537445853	58.95000003
-7.533333299	58.96055559
-7.530855821	58.9666667
-7.520538686	58.98333336
-7.516666632	58.9859954
-7.499999966	58.98988607
-7.483333299	58.99471157
-7.469583299	59.00000003
-7.466666632	59.00144036
-7.449999965	59.01169157
-7.443939359	59.0166667
-7.433333299	59.02992427
-7.430333299	59.03333336
-7.416999965	59.05000003
-7.416666632	59.05037882
-7.399999965	59.06597225
-7.398989864	59.0666667
-7.383333299	59.07641512
-7.368055521	59.08333336
-7.366666632	59.08425929
-7.349999965	59.09320991
-7.341269807	59.10000003
-7.333333299	59.1104167
-7.326666632	59.1166667
-7.321794837	59.13333336
-7.316666632	59.1416667
-7.299999965	59.1416667
-7.283333299	59.13958336
-7.266666632	59.13865251
-7.249999965	59.14043719
-7.233333299	59.14590646
-7.22435894	59.15000003
-7.216666632	59.15357146
-7.199999965	59.16151518
-7.18819441	59.1666667
-7.183333299	59.16857926
-7.166666632	59.17322407
-7.149999965	59.17656253
-7.133333299	59.18103451
-7.12444441	59.18333336
-7.116666632	59.18538015
-7.099999965	59.19016396
-7.083333299	59.194359
-7.066666632	59.19869795
-7.061111077	59.20000003
-7.049999965	59.20228313
-7.033333299	59.20512823
-7.016666632	59.20710385
-6.999999965	59.20818185
-6.983333299	59.2092949
-6.966666632	59.21176474
-6.95196075	59.2166667
